"Link","Status","GoesTo"
"/","200",
"/_next/static/immutable/chunks/1p6q9vr4ku8uz.js","200",
"/_next/static/immutable/chunks/1zmrb-1ujk74q.css","200",
"/apply","200",
"/apply/status","200",
"/businesses","307","/login?next=%2Fbusinesses"
"/contact","200",
"/discover","200",
"/events","307","/login?next=%2Fevents"
"/how-it-works","200",
"/learning","307","/login?next=%2Flearning"
"/legal/cookies","200",
"/legal/privacy","200",
"/legal/terms","200",
"/login","200",
"/media","200",
"/members","307","/login?next=%2Fmembers"
"/members/017f88e7-1419-459c-9ba8-8ee5ff36150d","307","/login?next=%2Fmembers%2F017f88e7-1419-459c-9ba8-8ee5ff36150d"
"/members/19abe644-b0d0-426c-8695-158098a5f0ae","307","/login?next=%2Fmembers%2F19abe644-b0d0-426c-8695-158098a5f0ae"
"/membership","307","/login?next=%2Fmembership"
"/menu","200",
"/reset-password","200",
"/villages","307","/login?next=%2Fvillages"
"/villages/dubai","307","/login?next=%2Fvillages%2Fdubai"
"/villages/lisbon","307","/login?next=%2Fvillages%2Flisbon"
"/villages/madrid","307","/login?next=%2Fvillages%2Fmadrid"
"/villages/paris","307","/login?next=%2Fvillages%2Fparis"
"/villages/suggest","307","/login?next=%2Fvillages%2Fsuggest"
"/watch","200",
"/watch/show/expatpreneurs","200",
